@relation 'Efforts-5-Levels-Normal-Distribution'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
417,26524,Very Low,Low
26,2393,Low,Low
146,6050,Low,Very Low
7,436,Low,Low
82,4004,Very Low,Low
152,8926,Very Low,Low
9,416,Low,Low
66,4092,Very Low,Low
33,824,Very Low,Low
7,126,Low,Low
15,892,Low,Low
12,593,Low,Low
30,1529,Low,Low
43,1940,Very Low,Very Low
8,567,Low,Low
8,626,Low,Low
33,1105,Very Low,Low
10,238,Low,Low
13,534,Low,Low
49,1800,Very Low,Low
15,250,Low,Very Low
6,287,Low,Low
31,1207,Very Low,Low
5,182,Medium,Low
2,42,Medium,Low
8,386,Medium,Low
4,178,Medium,Low
3,107,Medium,Low
8,163,Medium,Low
16,574,Medium,Low
6,35,Medium,Medium
9,427,Medium,Medium
79,3282,Medium,Medium
13,633,Very Low,Medium
6,317,Medium,Medium
14,430,Medium,Medium
15,438,Very Low,Medium
14,497,Medium,Medium
31,2157,Medium,Medium
108,8433,Medium,Very Low
36,3165,Medium,Medium
63,5499,Medium,Medium
62,5262,Medium,Medium
6,224,Low,Medium
17,744,Medium,Medium
15,1084,Medium,Medium
55,3798,Medium,Medium
58,3410,Medium,Medium
10,528,Medium,Medium
18,2972,Low,Medium
14,1084,Medium,Medium
45,3141,Medium,Medium
14,323,Medium,Medium
8,719,Medium,Medium
4,507,Medium,Medium
6,281,Medium,Medium
21,942,Low,Medium
31,1307,Low,Medium
14,1062,Medium,Medium
26,1213,Low,Medium
212,9797,Low,Very Low
43,2235,Medium,Medium
167,11371,Low,Very Low
34,1586,Medium,Medium
64,3902,Medium,Medium
267,14277,Low,Medium
112,5820,Medium,Medium
6,228,Medium,Very Low
84,3701,Medium,Very Low
6,258,Medium,Medium
32,1210,Low,Very Low
9,469,Low,Medium
20,1142,Low,Very Low
4,563,Medium,Medium
33,2142,Low,Medium
9,254,Medium,Medium
31,981,Medium,Medium
7,234,Low,Medium
142,8992,Medium,Medium
17,666,Medium,Medium
42,2984,Low,Medium
38,2070,Medium,Very Low
5,211,Medium,Medium
10,406,Medium,Very Low
14,412,Low,Medium
7,302,Medium,Medium
7,275,Medium,Medium
3,47,Medium,Medium
6,191,Medium,Medium
10,260,Medium,Medium
37,2396,Low,Medium
22,704,Medium,Medium
5,197,Medium,Medium
4,187,Medium,Medium
26,1560,Low,Medium
12,383,Low,Medium
41,1547,Very Low,Medium
31,1880,Low,Medium
16,998,Medium,Medium
7,356,Medium,Medium
2,30,Medium,Medium
12,1381,Medium,Medium
7,314,Medium,Medium
18,1223,Medium,Medium
9,202,Medium,Medium
4,655,Medium,Medium
5,264,Medium,Medium
5,443,Medium,Medium
8,577,Medium,Medium
21,1111,Medium,Medium
3,90,Medium,Medium
2,67,Medium,Medium
7,273,Medium,Medium
19,687,Medium,Medium
5,90,Medium,Medium
2,41,Medium,High
27,755,Medium,High
11,389,Medium,High
2,55,Medium,High
2,25,Medium,High
4,120,Medium,High
4,106,High,High
3,68,High,High
8,234,High,High
7,257,High,High
2,117,High,High
11,437,High,Very Low
7,169,High,High
27,1219,High,High
3,76,High,High
4,388,High,High
19,1093,High,High
15,1462,High,Very Low
13,562,High,High
27,1686,High,High
22,2058,High,Very Low
1,7,High,High
3,42,High,High
1,24,High,High
3,50,High,High
28,3205,High,High
1,8,High,High
2,230,High,Very Low
29,2613,High,High
26,1598,High,High
22,1373,High,High
13,1155,High,High
2,26,High,High
26,2206,High,High
12,842,High,High
14,615,High,Very Low
22,1495,High,High
10,859,High,Very Low
1,21,High,High
1,21,High,High
3,163,High,High
5,143,High,High
7,249,High,High
12,866,High,High
5,189,Very High,Very High
24,3077,Very High,Very High
2,116,Very High,Very High
9,333,Very High,Very High
11,978,Very High,Very High
2,148,Very High,Very High
6,621,Very High,Very High
1,5,Very High,Very High
16,665,Very High,Very High
4,157,Very High,Very High
9,427,Very High,Very High
1,27,Very High,Very High
29,2246,Very High,Very High
6,150,Very High,Very High
5,99,Very High,Very High
2,16,Very High,Very High
16,1028,Very High,Very High
3,67,Very High,Very High
3,327,Very High,Very High
188,7015,Very Low,Very Low
249,19769,Low,Very Low
15,348,Very Low,Very Low
31,1142,Very Low,Very Low
179,6542,Very Low,Very Low
26,1067,Low,Very Low
15,1364,Low,Very Low
35,2313,Very Low,Very Low
