@relation 'Efforts-5-Levels'

@attribute Class-Count numeric
@attribute LOC numeric
@attribute Smells-Rank {'Very Low',Low,Medium,High,'Very High'}
@attribute Effort-Rank {'Very Low',Low,Medium,High,'Very High'}

@data
1,38,Very High,Very High
1,235,Very High,Very High
17,1535,Very High,Very High
188,6990,Very Low,Very Low
248,19961,Low,Very Low
15,348,Very Low,Very Low
31,1142,Very Low,Very Low
179,6542,Very Low,Very Low
26,1067,Low,Very Low
15,1364,Low,Very Low
30,2079,Low,Very Low
44,2433,Low,Very Low
31,1145,Very Low,Very Low
162,7197,Very Low,Very Low
417,26524,Very Low,Very Low
26,2393,Low,Very Low
146,6050,Low,Very Low
7,436,Low,Very Low
82,4004,Very Low,Very Low
152,8926,Very Low,Very Low
9,416,Low,Very Low
66,4092,Very Low,Very Low
33,824,Very Low,Very Low
7,126,Low,Low
15,892,Low,Low
12,593,Low,Low
30,1529,Low,Low
43,1940,Very Low,Very Low
8,567,Low,Low
8,626,Low,Low
33,1105,Very Low,Low
10,238,Low,Low
13,534,Low,Low
49,1800,Very Low,Low
15,250,Low,Very Low
6,287,Low,Low
31,1207,Very Low,Low
5,182,Low,Low
2,42,Low,Low
8,386,Low,Low
4,178,Low,Low
3,107,Low,Low
8,163,Low,Low
16,574,Low,Low
6,35,Low,Low
9,427,Low,Low
79,3282,Low,Low
13,633,Very Low,Low
6,317,Low,Low
14,430,Low,Low
15,438,Very Low,Low
14,497,Low,Low
31,2157,Low,Low
108,8433,Low,Very Low
36,3165,Low,Low
63,5499,Low,Low
62,5262,Low,Low
6,224,Very Low,Low
17,744,Low,Low
15,1084,Medium,Low
55,3798,Medium,Low
58,3410,Medium,Low
10,528,Medium,Low
18,2972,Very Low,Low
14,1084,Medium,Medium
45,3141,Medium,Medium
14,323,Medium,Medium
8,719,Medium,Medium
4,507,Medium,Medium
6,281,Medium,Medium
21,942,Very Low,Medium
31,1307,Very Low,Medium
14,1062,Medium,Medium
26,1213,Very Low,Medium
212,9797,Very Low,Very Low
43,2235,Medium,Medium
167,11371,Very Low,Very Low
34,1586,Medium,Medium
64,3902,Medium,Medium
267,14277,Very Low,Medium
112,5820,Medium,Medium
6,228,Medium,Very Low
